stock#,carline,description,fa,colour,loc,dest loc,list price,age,age,deal,status,open ro/po
"320471366","STARIA","US4.V4 STARIA LOAD 2S 2.2D LIFTBACK AUTO","","CREAMY WHITE","DAHY","","45445.45","","162","DH17842","DEAL PEND","N"
"320471428","STARIA","US4.V4 STARIA LOAD 2S 2.2D TSWING AUTO","","CREAMY WHITE","DAHY","","45854.20","","162","","DEMO","N"
"320472570","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","WHITE CREAM","DAHY","","54409.09","","153","","IN-STOCK","N"
"320472572","TUCSON HEV","NX4.V4 TUCSON PRM N LINE 1.6T HEV AWD","","WHITE CREAM","DAHY","","54409.09","","153","","IN-STOCK","N"
"320472393","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","ABYSS BLACK","DAHY","","42716.69","","149","","IN-STOCK","N"
"320472965","VENUE","QX.V5 VENUE ELITE BLACK TTR 1.6P AUTO","","ABYSS BLACK + CHALK WHITE TTR","DAHY","","28721.13","","149","","STOCK SWAP","N"
"320469580","ELEXIO","OE1.V1 ELEXIO ELITE 2WD 88KWH","","CRYSTAL WHITE","DAHY","","57171.58","","148","","DEMO","N"
"320456065","INSTER","AX.V1 INSTER 2WD 49 KWH","","ATLAS WHITE","DAHY","","38780.10","","148","","DEMO","N"
"320470592","TUCSON","NX4.V4 TUCSON ELITE 2.0P AT 2WD","","DEEP SEA","DAHY","","41206.98","","146","","STOCK SWAP","N"
"320471578","STARIA","US4.V4 STARIA LOAD 2S 2.2D LIFTBACK AUTO","","CREAMY WHITE","DAHY","","45445.45","","143","","IN-STOCK","N"
"320471579","STARIA","US4.V4 STARIA LOAD 2S 2.2D LIFTBACK AUTO","","CREAMY WHITE","DAHY","","45445.45","","143","","IN-STOCK","N"
"320471580","STARIA","US4.V4 STARIA LOAD 2S 2.2D LIFTBACK AUTO","","CREAMY WHITE","DAHY","","45445.45","","143","","IN-STOCK","N"
"320471456","STARIA","US4.V4 STARIA LOAD 2S 2.2D TSWING AUTO","","CREAMY WHITE","DAHY","","68191.11","","143","DHF5821","DEAL PEND","Y"
"320472878","SANTA FE","MX5.V2 S.FE 7S CAL BLK 2.5T AWD AUTO","","ABYSS BLACK","DAHY","","68297.89","","139","","STOCK SWAP","N"
"320471842","KONA HEV","SX2.V3 KONA HEV PRM SRF 1.6P DCT","","ATLAS WHITE","DAHY","","42147.73","","136","","IN-STOCK","N"
