stock no,age,year,carline,description,reg no,odometer,colour,list price,loc,dest loc,status,open ro/po
"S5025479","22","20","SANTA FE","TM.2 MY20 ELITE WAGON 7ST 5DR SA 8SP 3.5I","BFU268","82017","GREY/LEATHER","27990.00","CRKU","","IN-STOCK","N"
"S5025484","22","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2IA","28293","WHITE/BLACK","21990.00","CRKU","","IN-STOCK","N"
"S5025485","22","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AU4CC","26539","WHITE/CLOTH","22683.00","CRKU","","DEAL PEND","N"
"S5025504","20","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2HZ","20500","WHITE/CLOTH","19990.00","FRUSED","","IN-STOCK","N"
"S5025505","20","24","VENUE","QX.V5 MY24 ACTIVE WAGON 5DR AUTO 6SP 1.6I","2AQ2KX","36000","WHITE/CLOTH","19990.00","FRUSED","","IN-STOCK","N"
"S5025527","19","12","I30","GD ACTIVE HATCHBACK 5DR SA 6SP 1.8I","ZIS936","147833","BLACK/BLACK","0.00","CRKU","","WHOLESALE","N"
"S5025511","19","15","I30","GD4 SERIES II MY16 ACTIVE X HBK SA 6SP 1.8I","2FI2WS","188417","BLUE/CLOTH","0.00","DANDUSED","","WHOLESALE","N"
"S5025541","17","25","I20","BC3.V2 MY25 N HATCHBACK 5DR MAN 6SP 1.6T","DZN700","1269","GREY/LEATHER","38990.00","DANDUSED","","DEAL PEND","N"
"S5024493","16","16","ACCENT","RB4 MY17 ACTIVE HATCHBACK 5DR CVT 6SP 1.4I","1ID6IF","99632","BLACK/CLOTH","0.00","CRKU","","SOLD","N"
"S5025555","15","15","IX35","LM3 MY15 SE WAGON 5DR SA 6SP 453KG 2.0I","1ER5GJ","72721","WHITE/BLACK","16990.00","CRKU","","DEAL PEND","N"
